,Date,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr,Current_PRICE:,Market Cap,Symbol,EBITDA,EBIT,EV,EV/EBITDA,EV/Sales,EPS,BV,P/E,P/B,P/S,EPS/P,Operating Cashflow Per Share,Price/Cashflow,ROE,ROA,ROCE,Net Profit Margin,EBITDA Margin,Operating Margin,Interest_Cov_Rat,Debt_to_Equity,Debt_Service_Coverage,FixAsset_Turn_Rat,Acc_Rec_Rat,COGS,Inv_Turn_Rat,CFO/Sales,CFO/Total Debt,Yearly_Sales_Growth,Sales_3yr_cagr,Sales_5yr_cagr,Yearly_Profit_Growth,Profit_3yr_cagr,Profit_5yr_cagr,Yearly_EBITDA_Growth,EBIITDA_3yr_cagr,EBITDA_5yr_cagr,Yearly_EBIT_Growth,EBIT_3yr_cagr,EBIT_5yr_cagr,Yearly_EPS_Growth,EPS_3yr_cagr,EPS_5yr_cagr,ROE_5yr_cagr,ROE_3yr_cagr,Yearly_ROE_Growth,Comp_Name,Industry,Comp_Description,Comp_Description_Source
0,2014-09-30,4.24,4513.4,1902.77,3376.55,3428.69,626.67,1087.91,4653.69,1708.47,1799.7,707.67,4241143.0,10.0,13197.27,8360.12,-19.18,664.67,519.13,732.8,883.37,87.0,62.56,423.09,231.58,1338.89,441.0,897.89,21.2,1686.84,-1784.71,67.19,-30.68,32681.95,0.42,140997.25,59782.83,MRF,1993.56,1570.47,60977.93,30.58745661028512,4.620495754046102,2137.833333333333,10750.430476190477,65.9533406096515,13.115498054917316,10.683819456599736,0.0654132734837833,4016.285714285714,8.137356832894644,0.1987520032583384,0.06707614523391,0.2446058740796927,0.0680360407872234,0.1510585143745638,0.1189996112832426,6.781544174799206,0.4211867258125925,0.9340361234099376,3.849070636307161,7.724613250452159,9563.1,5.31371895315886,0.1278173440416086,0.886518076278268,,,,,,,,,,,,,,,,,,,MRF Ltd.,niftyautolist,Madras Rubber Factory Limited (MRF) is the parent company of the MRF Group. The Co is engaged in the business of manufacturing tyres,https://www.screener.in/company/MRF/
1,2014-12-31,27.1,1206.56,,995.23,500.58,59.34,1188.58,480.39,10.7,205.13,20.89,27104783.0,10.0,3031.22,1850.93,43.17,23.23,90.94,160.9,174.64,39.64,115.75,50.16,1.67,798.03,239.11,558.92,135.5,685.96,-598.15,-85.63,2.18,1507.5,27.1,3616.7,99016.39,EICHERMOT,849.8599999999999,799.6999999999999,98995.5,116.4844797966724,32.65863249780617,20.624354243542435,71.62250922509224,175.36064195233664,50.496694951493325,1.1931499528242755,0.0136811636773084,25.312177121771217,59.55631523704006,0.4530583791320137,0.2322765109484804,0.6482337110711217,0.1843878042504338,0.2803689603525973,0.2638211677146495,478.8622754491018,0.0,508.8982035928144,6.0554157177673895,283.2915887850467,1921.93,9.369326768390778,0.2262983221277242,inf,,,,,,,,,,,,,,,,,,,Eicher Motors Ltd.,niftyautolist,"Eicher Motors Limited, incorporated in 1982, is the listed company of the Eicher Group in India and a leading player in the Indian automobile industry and the global leader in middleweight motorcycles.
Eicher has a joint venture with Sweden’s AB Volvo to create Volvo Eicher Commercial Vehicles Limited (VECV). VECV is engaged in truck and bus operations, auto components business, and technical consulting services business ",https://www.screener.in/company/EICHERMOT/
2,2015-03-31,46.57,3449.11,1797.4,1082.7,1956.09,207.68,1103.74,3108.27,559.47,537.18,591.81,232967156.0,2.0,4548.05,1755.86,16.03,353.2,390.91,333.28,184.21,216.4,89.45,250.51,111.84,1057.32,338.34,718.98,174.64,902.71,-138.13,-523.93,240.65,638.43,46.56,1193.45,55565.68,BHARATFORG,1419.6699999999998,1169.16,56771.27,39.989060838082096,12.482551862886291,15.44201030927835,120.648823024055,77.28592172244012,9.891932387620969,0.2624091643671463,0.0241874760103352,19.388101374570446,32.92895924494023,0.2056767209813255,0.0915133340800553,0.2208846267201704,0.1580853332747001,0.3121491628280251,0.2570684139356427,10.453862660944203,0.5141774990845844,0.7435785967191133,2.325071954766908,8.129211575240852,2483.94,4.624036635764548,0.1984828662833522,0.5022310003338155,,,,,,,,,,,,,,,,,,,Bharat Forge Ltd.,niftyautolist,Bharat Forge is engaged in the manufacturing and selling of forged and machined Compoundant for auto and industry sector.(Source : 201903 Annual Report Page No: 123),https://www.screener.in/company/BHARATFORG/
3,2015-03-31,31.4,7315.6,110.9,2972.9,967.6,276.0,2889.6,6297.6,1187.7,1276.2,1896.0,31398900.0,10.0,12085.5,6531.6,66.9,131.7,473.8,1663.1,931.4,439.5,537.3,548.4,14.3,1955.9,618.2,1337.7,266.9,1396.3,-1183.0,-236.8,-23.5,25421.35,3.14,22774.8,67171.18,BOSCHLTD,2518.6,1970.2,65386.07999999999,25.961280076232825,5.410291671838152,426.0191082802548,2361.208917197452,53.45957389549226,9.645398098458688,1.8844731289561871,0.0167583196124617,444.6815286624204,57.16754207548521,0.1820743160473663,0.0921617394779086,0.2641762426420306,0.1106863596872285,0.2083984940631335,0.1630218029870506,137.77622377622376,0.0150945964339186,20.11661341853035,12.490181893344356,10.175549381156856,7070.200000000001,5.540040745964583,0.1155351454222001,12.590622182146076,,,,,,,,,,,,,,,,,,,Bosch Ltd.,niftyautolist,"Bosch Ltd has presence across automotive technology, industrial technology, consumer goods and energy and building technology. It manufactures and trades in products such as diesel and gasoline fuel injection systems, automotive aftermarket products, industrial equipment, electrical power tools, security systems and industrial and consumer energy products and solutions.",https://www.screener.in/company/BOSCHLTD/
4,2015-03-31,27.72,183.07,155.88,61.39,124.63,7.68,199.65,96.1,54.76,31.59,0.89,27718376.0,10.0,345.58,144.12,-5.17,20.85,26.37,29.14,36.96,0.75,1.82,18.71,21.83,43.5,14.61,28.88,0.0,,,,,,2.77,579.95,34010.69,SONACOMS,84.03999999999999,65.33,34165.68,406.5406949071871,98.8647491174258,10.425992779783392,93.81025270758124,55.625398199446,6.182160086571558,1.678193182475838,,,,0.137008396982779,0.0568929514203538,0.178171107535386,0.0835696510214711,0.2431853695236992,0.1890445048903293,2.992670636738433,0.7395037715261635,0.4729052951437735,2.7728476289817863,6.3108108108108105,196.51,6.220639442861665,,,,,,,,,,,,,,,,,,,,,Sona BLW Precision Forgings Ltd.,niftyautolist,"Sona BLW Precision Forgings is an India-based automotive technology company. The company is engaged in designing, manufacturing and supplying engineered automotive systems and components such as differential assemblies, gears, conventional and micro-hybrid motors, BSG systems and EV Traction motors across all vehicle categories.
The company develops mechanical and electrical hardware systems, components as well as base and application software solutions.",https://www.screener.in/company/SONACOMS/
5,2015-03-31,0.11,-0.06,,,,,0.05,,,,,110000.0,10.0,,,,,,,0.01,-0.01,,,,,,,0.0,-0.01,,,-0.01,,,3932.3,76041.64,TIINDIA,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-inf,,,,,,,,,,,,,,,,,,,Tube Investments of India Ltd.,niftyautolist,"Tube Investments of India Limited (TII) is one of India’s leading manufacturers of a wide range of products for major industries such as Automotive, Railway, Construction, Mining, Agriculture, etc. The Company’s 3 main verticals are Engineering, Metal Formed Products and Bicycles. In line with its growth strategies, the Company has forayed into TMT bars and Truck Body Building business and is additionally exploring opportunities in optic lens and other vision systems for the Auto industry. ",https://www.screener.in/company/TIINDIA/
6,2015-03-31,19.33,2272.34,2357.84,665.1,2414.76,634.04,444.86,1820.95,603.29,392.01,431.13,96658595.0,2.0,3776.18,1952.11,-15.78,158.29,281.58,194.4,421.68,16.27,278.28,240.2,46.59,727.56,238.74,488.81,23.2,978.91,-427.79,-129.8,421.33,323.0,19.33,2621.95,50686.8,BALKRISIND,1014.35,774.15,52613.51,51.86918716419383,13.932998426981763,25.28763579927574,136.88509570615625,103.68505861173053,19.154386286352143,0.6943392528957836,0.0782898941154047,50.64200724262804,6.3781042179567065,0.2132985988384017,0.0800409366300965,0.1665014162782744,0.1294456302400839,0.2686180213866924,0.2050087654719849,16.616226658081132,1.028874139819433,0.4218671369097873,1.563791018569133,6.259311442258284,2407.76,6.142088212035408,0.2592328755514832,0.4151723611440979,,,,,,,,,,,,,,,,,,,Balkrishna Industries Ltd.,niftyautolist,"Balkrishna Industries Limited (BKT) started its Off-Highway tyre business in 1987. For over 30 years, BKT has successfully focused on specialist segments such as agricultural, construction and industrial as well as earthmoving, port and mining, ATV, and gardening applications. ",https://www.screener.in/company/BALKRISIND/
7,2015-03-31,643.78,14218.81,21134.41,13946.17,15783.23,6040.79,16987.17,11131.98,1114.48,4802.08,944.75,3218930067.0,2.0,36301.63,27920.47,878.82,395.88,2825.7,3174.71,2664.24,1436.93,1477.66,2603.22,1611.68,-3974.72,764.23,-4738.95,0.0,-2214.3,246.04,2631.53,663.27,544.37,288.74,800.45,292808.46,TATAMOTORS,240.17999999999984,-2363.04,312998.12,1303.1814472478982,8.622150575607762,-16.412516450786175,693.0243374662325,-48.77070511400205,1.155009942257622,0.0220499740645254,-0.0301495608699711,-7.668837016000555,-70.98468762137018,-0.318850886689332,-0.0933531427679902,-0.0656454704558713,-0.1305437248960997,0.006616231833116,-0.0650945976806,-1.4661967636255335,1.4219870157220242,0.0105591774234604,2.3000127350358577,32.57270655372909,30263.230000000003,6.302108669576517,-0.0609972610045334,-0.1047722647568586,,,,,,,,,,,,,,,,,,,Tata Motors Ltd.,niftyautolist,"Tata Motors Group is a leading global automobile manufacturer. Part of the illustrious multi-national conglomerate, the Tata group, it offers a wide and diverse portfolio of cars, sports utility vehicles, trucks, buses and defence vehicles to the world.
It has operations in India, the UK, South Korea, South Africa, China, Brazil, Austria and Slovakia through a strong global network of subsidiaries, associate companies and Joint Ventures (JVs), including Jaguar Land Rover in the UK and Tata Daewoo in South Korea.",https://www.screener.in/company/TATAMOTORS/
8,2015-03-31,39.94,6501.39,,3980.37,2912.69,712.55,3154.11,3742.35,1389.59,815.49,159.25,199687500.0,2.0,27585.3,19783.88,29.97,158.47,245.4,1172.87,1930.63,759.0,314.86,539.97,11.09,3328.82,943.18,2385.64,1198.2,2250.0,12.08,-2230.52,31.56,2639.8,19.97,4444.2,88833.85,HEROMOTOCO,3879.88,3339.9100000000003,88674.6,22.854985205728013,3.2145599286576547,119.46119178768151,365.4978367551327,37.20203970423031,12.159305892082246,0.1611075464105882,0.045253879758952,112.66900350525788,23.42969155555556,0.3647025910632853,0.1959702566562725,0.5105857677261353,0.0864822931053858,0.1406502738777537,0.1210757178642248,301.16411181244365,0.0,349.8539224526601,9.47072980646756,19.851395015796022,20157.78,24.718610896516207,0.0815651814553403,inf,,,,,,,,,,,,,,,,,,,Hero MotoCorp Ltd.,niftyautolist,"Hero Moto Corp earlier also known as “Hero Honda” is one of India’s first motorcycle manufacturers.
The company started in 1984 as a Technological collaboration with Honda, Japan. Before this collaboration, Hero was selling Cycles under the brand name, Hero Cycles.
In 2011, Honda group sold its 26% stake in the company to the Munjals (promoters) and ended the JV. Post the termination of JV, the name of the company was changed to Hero Motocorp.",https://www.screener.in/company/HEROMOTOCO/
9,2015-03-31,284.59,4834.11,3349.72,4843.07,5255.55,120.14,2648.83,5286.97,1242.67,1398.53,751.29,2845877394.0,1.0,13916.46,10017.82,52.61,82.49,192.52,1188.83,1324.56,136.22,225.41,416.34,393.51,442.19,107.39,334.81,128.07,1776.7,102.79,-1179.17,700.33,73.3,284.59,170.25,49987.57,ASHOKLEY,1252.04,835.7,52586.0,42.00025558288873,3.778690845229319,1.1764643873642786,301.5762257985172,144.71326274603504,0.5645338903927523,0.0122337146084564,0.0160499916420774,6.243016269018589,11.741119491191531,0.065409185926114,0.0201889309110555,0.0986842882143304,0.0240585608696464,0.0899682821637111,0.060051191179366,2.123707148484156,0.6544083458690683,0.3344811833630314,2.6479550189799355,11.198837985949607,10240.22,7.322131094792389,0.1276689617905703,0.5304025411079135,,,,,,,,,,,,,,,,,,,Ashok Leyland Ltd.,niftyautolist,"Ashok Leyland is the flagship Company of the Hinduja group, having a long-standing presence in the domestic medium and heavy commercial vehicle (M&HCV) segment. The company has a strong brand and well-diversified distribution and service network across the country and has a presence in 50 countries, it is one of the most fully-integrated manufacturing companies. Its headquarter is in Chennai 
They manage driver training institutes across India and have trained over 8,00,000 drivers since inception.",https://www.screener.in/company/ASHOKLEY/
