Date,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:,Adjusted Equity Shares in Cr,EBITDA,EBIT,Market Cap,EV,EV/EBITDA,EV/Sales,EPS,BV,P/E,P/B,P/S,EPS/P,Operating Cashflow Per Share,Price/Cashflow,ROE,ROA,ROCE,Net Profit Margin,EBITDA Margin,Operating Margin,Interest_Cov_Rat,Debt_to_Equity,Debt_Service_Coverage,FixAsset_Turn_Rat,Acc_Rec_Rat,COGS,Inv_Turn_Rat,CFO/Sales,CFO/Total Debt,Comp_Name
2014-12-31,96.42,2740.79,19.57,2962.72,3176.64,244.78,811.82,1586.26,99.1,844.1,445.82,96415716.0,10.0,9854.84,3833.24,67.43,384.33,955.26,837.05,1680.48,192.66,86.87,337.54,14.23,1774.35,589.66,1184.69,607.45,1644.02,-431.7,-1635.28,-422.96,638.49,96.42,2126.12,1788.58,6156.047050884001,5729.797050884001,2.6949546831241893,0.581419591884191,12.286766231072392,124.84553412155154,51.96566679890942,5.1142398043518025,0.0647894841519497,0.019243474809429107,17.050611906243518,37.44674991788421,0.41755456945379443,0.17012266397079728,0.6260825124790848,0.12021402681322071,0.21574373607283323,0.18149254579475668,125.69079409697821,0.006897621254683298,62.902958579881656,3.102284174473658,99.44339051463169,5105.4,6.048335505271886,0.16682361154519,84.00715380684721,Nestle India
2014-12-31,133.77,120.28,2031.28,586.51,1733.13,16.87,522.57,599.27,34.75,213.87,3.29,133766165.0,10.0,2018.81,1169.38,-0.72,91.49,75.71,147.25,198.6,13.19,42.05,152.04,157.73,54.75,19.35,35.4,,378.49,-500.42,116.22,-5.71,,90.3,364.52,212.48,,,,,0.3920265780730897,135.10200442967886,,,,,4.191472868217055,,0.1393426490848258,0.011394067360181274,0.09297563152805065,0.017535082548630135,0.18056181611939706,0.10525012259697544,1.3471121536803399,7.995591419012005,0.16652276599924168,1.1648347209961167,58.09525179856115,1337.3000000000002,6.252863889278534,0.18748173428901185,0.18633078649915324,Varun Beverages
2015-03-31,23.99,1215.2,0.97,1221.83,525.94,48.22,661.04,1226.79,70.98,345.74,186.67,119925800.0,2.0,7175.99,4342.32,25.48,67.42,650.55,190.65,993.19,179.76,223.51,117.27,1.21,882.61,260.2,622.41,191.92,515.33,-384.29,-168.11,-37.07,1079.28,23.99,1001.09,883.82,12943.3517424,12757.6517424,12.743761042863278,1.7778246266229467,25.944560233430597,74.64443934972905,41.59947173085265,14.458947101783243,0.1504015473823124,0.02403876680141446,21.481033764068364,50.243392001241915,0.5022716451875822,0.20629002107942568,0.7126661075990195,0.08673507070104612,0.13950548983485206,0.1231634938175778,730.4297520661157,0.0007827693896819696,459.21559633027533,13.644122903753278,101.09876021414482,5034.81,14.562416845028057,0.07181308781088046,531.2680412371135,Britannia Inds
2015-03-31,22.7,1189.46,24.03,319.68,423.95,24.97,501.73,605.22,56.0,118.45,326.09,226967619.0,1.0,1903.96,731.19,-13.02,12.02,19.68,149.54,575.25,-107.44,102.66,31.48,4.9,576.98,105.35,471.63,158.9,496.62,-217.08,-220.74,58.81,500.6,45.39,613.36,581.88,11361.99900714,11059.939007140001,18.03172526271684,5.808913531345197,10.390614672835426,48.90533157083058,48.17809299662872,10.236102770818983,0.26292569171621255,0.02075632175955938,10.941176470588236,45.75376344086022,0.38908229936642025,0.2321653605324302,0.4707043415656169,0.24771003592512447,0.3221496249921217,0.30561566419462594,118.75102040816326,0.019824115628299895,21.20152091254753,4.491001297322797,33.99928571428571,775.91,6.55052764879696,0.2608353116662115,20.666666666666664,Emami
2015-03-31,61.84,2439.81,477.5,676.53,193.34,11.27,2231.86,1219.21,93.62,819.27,21.01,618398570.0,1.0,2884.52,1712.08,27.99,27.84,234.34,161.92,365.86,93.39,86.1,19.94,34.19,349.05,60.05,289.0,139.14,50.22,128.53,-166.08,12.67,148.8,61.84,403.18,383.24,9201.7707216,9658.2607216,23.955207901185574,3.348307767531513,4.673350582147477,101.29358990944372,31.840110726643605,1.4689972004450325,0.05158570576733738,0.03140692595529218,0.8120957309184993,183.22962962962967,0.11552375432214738,0.06312372906159695,0.12864071966836177,0.10018997961532594,0.13977368851663363,0.1328609266013063,11.209125475285171,0.1908740231447245,0.7879380093415935,14.91941657184235,30.810937833796196,1946.2699999999998,2.3756148766584886,0.017410175696476363,0.10517277486910995,Tata Consumer
2015-03-31,175.65,2160.54,129.13,1223.04,682.52,12.22,1778.17,1215.45,338.79,550.6,123.94,1756511990.0,1.0,5419.77,2159.87,32.25,50.61,756.18,393.6,937.68,213.95,112.26,65.97,9.89,976.53,213.95,762.58,351.3,839.2,-612.96,-336.75,-110.51,265.55,175.65,1052.3899999999999,986.42,46644.17589445,46649.36589445,44.327070662444534,8.607259329168949,4.341474523199545,187.9502561912895,61.16585472999554,1.4128738389679665,0.048996544133791654,0.016348990861229692,4.777682892115002,55.58133639180171,0.32642036820635306,0.16261539150479692,0.4001184430418769,0.14070338778213834,0.19417613662572394,0.18200403338149035,99.7391304347826,0.05527375769950218,7.570061861602647,7.940822246967123,15.997432037545382,2934.41,5.329476934253541,0.15484051906261703,6.498877100596299,Dabur India
2015-03-31,145.33,1796.75,5323.8,1752.07,1069.41,64.55,551.07,7332.92,1745.48,1554.24,239.69,145327743.0,10.0,7968.31,4789.26,20.5,28.63,98.75,619.29,1883.72,82.91,-1711.69,109.74,592.96,-1928.14,28.34,-1956.47,,96.53,-109.04,-199.84,-212.35,731.46,72.66,-1225.44,-1335.18,10630.143089478,15714.253089478001,-12.82335576566621,1.972093591925766,-26.926369391687313,170.0581860721167,-27.165192208416176,4.301233694741453,0.09179612740970168,-0.03681181389506919,1.3285163776493256,550.5841044234953,-1.0074095814796507,-0.15660768073796047,-0.1837602602850584,-0.2455313611041739,-0.15378919745843223,-0.1675612520095227,-2.2517201834862384,2.7412876915472073,-0.20711335257810018,7.451127257085682,4.565111029630818,4896.14,3.1501827259625284,0.012114237523389526,0.018131785566700476,United Spirits
2015-03-31,34.04,3349.01,260.98,1278.05,1060.19,178.83,2300.21,1382.85,142.94,489.51,495.36,340446901.0,1.0,4429.8,2007.89,-5.05,98.16,170.76,259.3,1010.28,36.33,65.48,41.67,38.65,827.19,172.74,654.45,187.22,782.66,-453.83,-309.36,19.47,346.99,102.14,907.51,865.84,11813.167017799,11578.787017798999,12.758853365581645,2.6138396807528554,6.407382024672019,66.82842764832583,54.154723202689276,5.1922514446394095,0.07833085015124837,0.018465610031044178,7.662619933424711,45.28346740602561,0.19344969775794033,0.11147050106795027,0.2376050691130424,0.14773804686441827,0.20486477944828207,0.195458034222764,22.402069857697285,0.07714340609804762,3.028768814871675,4.178307661834199,30.9906254372464,2281.8600000000006,4.661518661518663,0.17668066278387284,2.9989271208521724,Godrej Consumer
2015-03-31,26.61,802.68,849.26,410.65,572.74,0.8,98.06,1417.6,477.81,215.27,10.33,133038765.0,2.0,1399.91,470.87,-7.34,29.19,290.45,119.64,337.05,-34.2,36.31,38.32,90.44,87.12,19.49,67.64,10.64,250.39,-82.92,-172.42,-4.96,89.55,13.3,215.88,177.56,1191.362140575,2030.292140575,9.404725498309247,1.450301905533213,5.085714285714285,86.96187969924812,17.60814606741573,1.0297615496548915,0.06396839796844082,0.05679189598787589,18.826315789473682,4.756639642158233,0.08156374730190886,0.024228009785766228,0.10578177593756516,0.04831739183233208,0.1542099134944389,0.12683672521804973,1.9632905793896507,1.024080840236829,0.22973289347664147,2.4442329852987394,2.9298465917414873,797.85,3.7062758396432387,0.1788614982391725,0.29483314885900663,Radico Khaitan
2015-03-31,26.44,1823.19,836.32,1194.68,1810.84,90.16,25.47,1954.16,964.28,558.38,10.76,264405149.0,1.0,4692.29,753.38,15.65,141.92,1300.03,297.37,1461.81,132.26,37.18,207.39,72.99,377.97,118.44,259.53,26.44,838.65,-327.22,-571.81,-60.38,1000.3,26.44,658.35,450.96000000000004,26448.447054469998,27274.00705447,41.4278226695071,5.8125152227313315,9.815809379727684,95.39574886535551,101.90703194235735,10.485792206651201,0.21317949231611857,0.009812865520071663,31.718986384266262,31.536316699457462,0.14031454939636573,0.04874818976349999,0.1678959027532158,0.05530988067659927,0.14030462737810323,0.09610659187731364,6.178380600082204,0.4521552959240497,0.7240105134662546,2.5912228579002012,4.86610735471025,2179.68,3.903578208388552,0.17872936242218618,1.0027860149225176,United Breweries
2015-03-31,216.35,3508.43,,9909.28,2457.53,479.01,3277.93,7419.59,782.94,2602.68,2537.56,2163464851.0,1.0,30805.62,13133.89,-58.28,304.62,3042.54,1578.89,6581.62,900.33,1285.48,286.69,16.82,6187.42,1872.16,4315.26,3245.25,3271.9,279.9,-3450.44,101.36,873.55,216.35,6490.929999999999,6204.24,188989.47205910497,,,,19.945736075803097,232.566454818581,43.79632803121944,3.756130696842902,0.028356838784611378,0.0228329644276837,15.12318003235498,57.76232235092759,1.1585274835023815,0.2261876494832068,,0.14008028405206582,0.21070603350947,0.2013996147456211,368.8608799048751,,,12.535195908086573,39.346080159399186,16539.329999999998,6.354730508552723,0.10621113939599333,,Hind. Unilever
2015-03-31,13.6,756.72,,931.57,781.58,141.18,37.13,742.0,69.64,252.23,254.45,135992817.0,1.0,3981.94,1484.07,16.35,32.68,140.01,259.52,1163.0,96.07,32.47,75.02,,780.39,221.41,558.98,326.4,638.15,-271.63,-384.79,-18.27,1007.15,27.2,,,13696.516564155001,,,,20.550735294117647,41.42058823529412,49.00797881856238,24.315202726691755,0.2529294765867893,0.020404840683232534,23.46139705882353,42.927963644911074,0.7256464845778378,0.26156862561592487,,0.14037881032863378,,,,,,5.094731185547225,57.17892016082711,1640.41,6.503627641438371,0.16026107877064946,,Colgate-Palmoliv
2015-03-31,801.55,29934.14,53.02,13406.95,14178.49,2114.14,8405.46,19497.57,1722.4,7836.76,7588.61,8015519541.0,1.0,36489.96,14886.49,214.53,581.65,1468.19,1780.04,3536.73,931.92,1518.24,961.74,78.45,13997.52,4389.79,9607.73,5009.69,9308.87,-4820.03,-4573.61,-84.77,217.23,1202.33,15037.710000000001,14075.970000000001,174121.13098914298,166585.540989143,11.077853010142034,4.565243178922175,7.990925952109654,826.4467754277111,27.18458427745159,0.2628481427464907,0.005953144371766919,0.036785554260966045,7.742358587076761,28.057341642970623,0.3125919736957264,0.16221247967010916,0.4571795960272451,0.26329790440987055,0.4121054120092212,0.3857491211281131,179.4260038240918,0.0017250304125269356,114.38130371947973,2.573613974407712,21.185531816070597,16721.8,2.1337644638855853,0.25510770633894914,175.57280271595624,ITC
2015-03-31,64.5,2278.39,271.13,617.04,481.56,2.07,1335.04,1412.39,130.55,791.59,96.97,644981999.0,1.0,4681.2,2398.86,94.87,29.11,612.14,198.46,845.21,16.77,127.24,54.75,16.97,731.04,185.87,545.17,161.25,552.05,59.58,-612.15,-0.52,192.88,129.0,802.76,748.01,12440.412796712,12614.572796712,15.714002686621157,2.6947305811996927,4.2261240310077515,82.16193798449612,45.639928829539414,2.3475590368425374,0.041203110313594804,0.021910638899874282,4.279457364341085,45.07113486097274,0.23269124884224185,0.12833266636849414,0.28615312813214894,0.11645945484063915,0.1714859437751004,0.15979022472870205,44.07837360047142,0.11572459654529235,2.786393613328705,9.720907052080737,35.85752585216392,2945.2400000000002,3.7206634747786103,0.11792916346236007,2.0361081400066388,Marico
2015-06-30,32.46,1196.22,,719.0,308.79,38.98,,1599.91,113.94,119.07,618.58,32460736.0,10.0,2333.79,922.16,1.24,12.18,72.58,113.67,703.42,15.53,63.57,52.53,5.72,500.81,154.67,346.14,98.19,425.57,28.37,-105.29,348.65,6835.0,3.25,559.0600000000001,506.53000000000003,22186.913056,,,,106.50461538461538,400.5276923076923,64.17562258045878,17.064987343619762,2.9287125234061335,0.015582240729278036,130.9446153846154,52.1976408111474,0.28171696454731904,,,0.14831668659133854,0.23955025944922212,0.21704180753195448,88.55419580419581,,,7.55785485281259,20.4826224328594,1005.68,8.446124128663811,0.1823514540725601,,P & G Hygiene
2015-12-31,133.77,276.66,1754.05,1977.05,2916.19,32.03,303.93,889.38,50.05,350.79,19.58,133766165.0,10.0,2864.0,1519.43,31.84,109.4,109.39,245.9,315.89,15.9,41.36,262.62,139.71,218.96,67.31,151.65,,510.23,-360.2,-134.35,15.68,,90.3,621.29,358.67,,,,,1.6794019933554818,136.83378737541528,,,,,5.650387596899225,,0.3694905343176668,0.03347741240463408,0.16570723684210528,0.05295041899441341,0.2169308659217877,0.12523393854748605,2.5672464390523224,4.273688570523596,0.3280721949983102,0.9821033608921229,57.222777222777225,1706.3800000000003,4.86439180136264,0.17815293296089385,0.2908868048231236,Varun Beverages
