Date,Sales,Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Operating Profit,EBITDA,EBIT,Comp_Name
2021-09-30,1710.56,1381.39,8.35,99.78,32.53,205.21,59.29,145.92,329.17,337.52,237.74,Varun Beverages
2021-09-30,708.83,597.36,1.81,16.17,3.06,94.05,24.78,69.26,111.47,113.28,97.11,Radico Khaitan
2021-09-30,1987.5,1718.79,23.86,36.09,7.65,248.83,60.49,188.34,268.71,292.57000000000005,256.48,Tata Consumer
2021-09-30,2119.89,1639.51,97.16,40.03,3.49,534.02,138.86,395.16,480.38,577.54,537.51,Dabur India
2021-09-30,1838.14,1386.5,18.27,21.42,3.19,445.3,89.04,356.26,451.64,469.91,448.49,Godrej Consumer
2021-09-30,1058.3,756.98,5.8,12.69,0.59,293.84,75.55,218.29,301.32,307.11999999999995,294.42999999999995,P & G Hygiene
2021-09-30,1426.19,1260.59,4.55,55.64,4.73,109.78,29.13,80.65,165.6,170.15,114.51,United Breweries
2021-09-30,12724.0,9592.0,113.0,265.0,26.0,2954.0,767.0,2187.0,3132.0,3245.0,2980.0,Hind. Unilever
2021-09-30,3882.57,2934.58,33.66,95.53,51.88,834.24,216.87,617.37,947.99,981.65,886.12,Nestle India
2021-09-30,1352.42,951.66,6.51,44.89,1.5,360.88,91.71,269.17,400.76,407.27,362.38,Colgate-Palmoliv
2021-09-30,711.89,447.53,39.16,82.62,0.47,220.43,38.07,182.36,264.36,303.52,220.9,Emami
2021-09-30,3425.3,2894.36,50.98,42.51,36.25,503.16,135.85,367.31,530.94,581.9200000000001,539.4100000000001,Britannia Inds
2021-09-30,1916.0,1620.0,128.0,23.0,8.0,393.0,64.0,329.0,296.0,424.0,401.0,Marico
2021-09-30,12730.97,8115.93,676.99,401.46,10.45,4880.12,1182.94,3697.18,4615.04,5292.03,4890.57,ITC
2021-09-30,2446.8,2021.2,4.0,65.5,-1.4,365.5,92.1,273.4,425.6,429.6,364.1,United Spirits
2021-12-31,1100.71,1035.71,33.77,97.94,33.79,-32.96,-13.21,-19.75,65.0,98.77,0.8299999999999983,Varun Beverages
2021-12-31,756.57,637.57,1.7,16.94,3.12,100.64,23.93,76.71,119.0,120.7,103.76,Radico Khaitan
2021-12-31,1817.43,1359.4,33.49,21.88,1.63,468.01,88.01,380.0,458.03,491.52,469.64,Godrej Consumer
2021-12-31,2030.48,1749.84,14.39,35.73,7.28,252.02,64.54,187.48,280.64,295.03000000000003,259.3,Tata Consumer
2021-12-31,1855.0,1556.0,74.0,26.0,8.0,339.0,61.0,278.0,299.0,373.0,347.0,Marico
2021-12-31,2224.43,1737.71,81.06,40.37,6.31,521.1,127.48,393.62,486.72,567.78,527.41,Dabur India
2021-12-31,15862.32,10760.22,809.91,409.29,10.69,5492.03,1335.83,4156.2,5102.1,5912.009999999999,5502.719999999999,ITC
2021-12-31,2880.0,2390.2,2.1,74.5,39.5,377.9,67.1,310.8,489.8,491.9,417.4,United Spirits
2021-12-31,1580.86,1407.29,6.04,52.94,3.69,122.98,32.42,90.56,173.57,179.61,126.67,United Breweries
2021-12-31,875.3,552.98,16.68,82.36,1.25,255.39,44.27,211.12,322.32,339.0,256.64,Emami
2021-12-31,1280.12,899.57,5.68,43.92,1.51,340.8,88.47,252.33,380.55,386.23,342.31,Colgate-Palmoliv
2021-12-31,13092.0,9813.0,25.0,255.0,25.0,3024.0,781.0,2243.0,3279.0,3304.0,3049.0,Hind. Unilever
2021-12-31,3373.7,2861.23,53.41,42.65,34.67,488.56,131.99,356.57,512.47,565.88,523.23,Britannia Inds
2021-12-31,3747.98,2889.29,-209.14,105.96,43.59,500.0,120.52,379.48,858.69,649.5500000000001,543.59,Nestle India
2021-12-31,1092.98,796.51,6.86,12.89,2.94,287.5,75.44,212.06,296.47,303.33,290.44,P & G Hygiene
2022-03-31,13462.0,10217.0,180.0,261.0,36.0,3128.0,801.0,2327.0,3245.0,3425.0,3164.0,Hind. Unilever
2022-03-31,15530.85,10306.49,674.08,445.92,10.49,5442.03,1251.07,4190.96,5224.36,5898.44,5452.5199999999995,ITC
2022-03-31,1635.34,1253.63,60.21,16.8,1.2,423.92,6.39,417.53,381.71,441.92,425.12,Godrej Consumer
2022-03-31,812.52,732.85,1.95,16.39,2.29,62.94,16.58,46.36,79.67,81.62,65.23,Radico Khaitan
2022-03-31,3992.64,3071.69,21.44,104.51,35.58,802.3,211.53,590.77,920.95,942.39,837.88,Nestle India
2022-03-31,973.26,808.25,6.03,13.12,6.82,151.1,48.25,102.85,165.01,171.04,157.92,P & G Hygiene
2022-03-31,671.59,523.58,35.02,81.13,1.41,100.49,-263.74,364.23,148.01,183.02999999999997,101.89999999999999,Emami
2022-03-31,1706.86,1446.53,12.98,53.18,2.5,217.63,54.67,162.96,260.33,273.31,220.13,United Breweries
2022-03-31,2184.37,1785.33,20.06,100.69,43.16,275.25,79.9,195.36,399.04,419.09999999999997,318.40999999999997,Varun Beverages
2022-03-31,3336.45,2814.41,103.04,43.34,31.04,550.7,137.27,413.43,522.04,625.08,581.74,Britannia Inds
2022-03-31,1948.42,1660.8,27.25,35.05,7.19,272.63,66.44,206.19,287.62,314.87,279.82,Tata Consumer
2022-03-31,1852.34,1522.96,92.17,41.39,6.58,373.58,81.82,291.76,329.38,421.54999999999995,380.15999999999997,Dabur India
2022-03-31,2500.6,2072.0,-103.5,75.1,18.7,231.3,41.2,190.1,428.6,325.1,250.0,United Spirits
2022-03-31,1301.27,871.85,8.86,43.81,1.35,393.12,69.55,323.57,429.42,438.28000000000003,394.47,Colgate-Palmoliv
2022-03-31,1686.0,1439.0,126.0,24.0,8.0,341.0,48.0,293.0,247.0,373.0,349.0,Marico
2022-06-30,4365.83,3263.01,24.25,124.95,35.37,966.75,238.41,728.33,1102.82,1127.07,1002.12,Varun Beverages
2022-06-30,3521.49,3051.6,53.12,43.51,38.87,440.63,118.97,321.66,469.89,523.01,479.5,Britannia Inds
2022-06-30,17289.65,11642.13,312.69,411.53,9.13,5539.55,1370.17,4169.38,5647.52,5960.21,5548.68,ITC
2022-06-30,4045.69,3231.16,19.37,101.68,36.97,695.25,185.01,510.24,814.53,833.9000000000001,732.22,Nestle India
2022-06-30,2194.6,1924.1,-12.8,74.1,22.6,161.0,-33.9,194.9,270.5,257.7,183.6,United Spirits
2022-06-30,1196.81,871.14,2.2,44.16,1.3,282.41,72.74,209.67,325.67,327.87,283.71000000000004,Colgate-Palmoliv
2022-06-30,688.22,534.86,43.48,86.13,1.86,108.85,12.33,96.52,153.36,196.83999999999997,110.71,Emami
2022-06-30,776.38,709.29,5.63,14.18,0.84,57.7,15.15,42.55,67.09,72.72,58.540000000000006,P & G Hygiene
2022-06-30,2436.65,2171.6,10.36,57.53,0.83,217.05,55.37,161.68,265.05,275.41,217.88000000000002,United Breweries
2022-06-30,2179.73,1752.0,84.2,43.96,7.04,460.93,110.85,350.08,427.73,511.93,467.97,Dabur India
2022-06-30,2076.88,1770.05,42.8,35.09,7.14,307.4,74.57,232.83,306.83,349.63,314.53999999999996,Tata Consumer
2022-06-30,1849.41,1434.78,21.29,25.81,0.51,409.6,90.07,319.53,414.63,435.92,410.11,Godrej Consumer
2022-06-30,757.43,664.91,4.37,16.73,2.97,77.19,18.9,58.29,92.52,96.89,80.16,Radico Khaitan
2022-06-30,14272.0,11025.0,125.0,260.0,26.0,3086.0,797.0,2289.0,3247.0,3372.0,3112.0,Hind. Unilever
2022-06-30,1976.0,1594.0,132.0,25.0,8.0,481.0,94.0,387.0,382.0,514.0,489.0,Marico
2022-09-30,14751.0,11374.0,87.0,248.0,25.0,3191.0,575.0,2616.0,3377.0,3464.0,3216.0,Hind. Unilever
