Indice_Name,Logo Link
Nifty AUTO,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-auto.png?sfvrsn=17cb9834_2
Nifty BANK,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-bank.png?sfvrsn=1fcb9834_2
Nifty CONSUMER DURABLES,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty_consumer-durables.jpg?sfvrsn=9e7a9834_2
Nifty FINANCIAL SERVICES,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-financial-services.png?sfvrsn=19cb9834_2
Nifty FMCG,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-fmcg.png?sfvrsn=1bcb9834_2
Nifty HEALTHCARE,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/logo.jpg
Nifty IT,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-it.png?sfvrsn=e5cb9834_2
Nifty MEDIA,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-media.png?sfvrsn=efcb9834_2
Nifty METAL,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-metal.png?sfvrsn=13cb9834_2
Nifty OIL & GAS,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty_oil-and-gas.jpg?sfvrsn=9a7a9834_2
Nifty PHARMA,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-pharma.png?sfvrsn=e6cb9834_2
Nifty REALTY,https://www.niftyindices.com/images/default-source/new-logo/sectoral-indices/nifty-realty.png?sfvrsn=f4cb9834_2
