Index_Name,ROCE Based Score,ROE_5yr_cagr Based Score,Debt_to_Equity Based Valuation,Interest_Cov_Rat Based Score,FixAsset_Turn_Rat Based Score,Inv_Turn_Rat Based Score,P/E Based Valuation,EV/EBITDA Based Valuation,EV/Sales Based Valuation,CFO/Sales Based Score,CFO/Total Debt Based Score
Nifty AUTO,0.075,0.075,0.15,0.15,0.125,0.125,0.033,0.033,0.033,0.1,0.1
Nifty FMCG,0.125,0.125,0.075,0.075,0.1,0.1,0.05,0.05,0.05,0.125,0.125
Nifty HEALTHCARE,0.1,0.1,0.125,0.125,0.05,0.05,0.05,0.05,0.05,0.15,0.15
Nifty IT,0.175,0.175,0.075,0.075,0.1,0.1,0.033,0.033,0.033,0.1,0.1
Nifty MEDIA,0.125,0.125,0.075,0.075,0.1,0.1,0.033,0.033,0.033,0.15,0.15
Nifty METAL,0.1,0.1,0.125,0.125,0.125,0.125,0.033,0.033,0.033,0.1,0.1
Nifty PHARMA,0.125,0.125,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.15,0.15
Nifty REALTY,0.075,0.075,0.15,0.15,0.125,0.125,0.033,0.033,0.033,0.1,0.1
Nifty CONSUMER DURABLES,0.125,0.125,0.075,0.075,0.125,0.125,0.05,0.05,0.05,0.1,0.1
Nifty OIL & GAS,0.1,0.1,0.125,0.125,0.1,0.1,0.033,0.033,0.033,0.125,0.125
Nifty FINANCIAL SERVICES,0.1,0.1,0.125,0.125,0.05,0.05,0.05,0.05,0.05,0.15,0.15
Nifty BANK,0.1,0.1,0.125,0.125,0.05,0.05,0.05,0.05,0.05,0.15,0.15
